NAME	TITLE	SCORE	
ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	3.2441952	
MTARC1	mitochondrial amidoxime reducing component 1 [Source:HGNC Symbol;Acc:HGNC:26189]	3.2383692	
NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	3.232585	
DCK	deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]	3.223255	
ZNF680	zinc finger protein 680 [Source:HGNC Symbol;Acc:HGNC:26897]	3.1867583	
MED14	mediator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:2370]	3.1795774	
LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	3.1573992	
USP9X	ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632]	3.149967	
LRBA	LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]	3.1055677	
ZCWPW1	zinc finger CW-type and PWWP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23486]	3.1045158	
EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	3.0891318	
RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	3.0806096	
ARSD	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]	3.0771277	
FOXN1	forkhead box N1 [Source:HGNC Symbol;Acc:HGNC:12765]	3.0747013	
ANKMY2	ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370]	3.0505502	
LMTK2	lemur tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:17880]	3.0444858	
ZNF268	zinc finger protein 268 [Source:HGNC Symbol;Acc:HGNC:13061]	3.0260217	
FABP4	fatty acid binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3559]	3.0240483	
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]	3.0193071	
CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	3.0177155	
FBXO32	F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]	2.991821	
KLK9	kallikrein related peptidase 9 [Source:HGNC Symbol;Acc:HGNC:6370]	2.9856622	
SARAF	store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]	2.982017	
PRKX	protein kinase cAMP-dependent X-linked catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9441]	2.9816103	
COQ7	coenzyme Q7, hydroxylase [Source:HGNC Symbol;Acc:HGNC:2244]	2.9810703	
BRWD3	bromodomain and WD repeat domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17342]	2.963806	
RHCG	Rh family C glycoprotein [Source:HGNC Symbol;Acc:HGNC:18140]	2.9617398	
ZNF189	zinc finger protein 189 [Source:HGNC Symbol;Acc:HGNC:12980]	2.9617398	
ANO10	anoctamin 10 [Source:HGNC Symbol;Acc:HGNC:25519]	2.9591532	
EIF4EP1	eukaryotic translation initiation factor 4E pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:3292]	2.958882	
HERC2P2	HERC2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:4870]	2.9562385	
HEMK1	HemK methyltransferase family member 1 [Source:HGNC Symbol;Acc:HGNC:24923]	2.9406698	
SPRR1A	small proline rich protein 1A [Source:HGNC Symbol;Acc:HGNC:11259]	2.9281151	
ZSCAN21	zinc finger and SCAN domain containing 21 [Source:HGNC Symbol;Acc:HGNC:13104]	2.9206874	
FAM184B	family with sequence similarity 184 member B [Source:HGNC Symbol;Acc:HGNC:29235]	2.915038	
MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	2.9138207	
TRAM2	translocation associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16855]	2.910502	
SEMA3D	semaphorin 3D [Source:HGNC Symbol;Acc:HGNC:10726]	2.907398	
OSCP1	organic solute carrier partner 1 [Source:HGNC Symbol;Acc:HGNC:29971]	2.9054685	
MOSPD1	motile sperm domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25235]	2.8999653	
SNX24	sorting nexin 24 [Source:HGNC Symbol;Acc:HGNC:21533]	2.896769	
UBR5	ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806]	2.895536	
TP53BP1	tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11999]	2.895243	
RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	2.885732	
TCEAL8	transcription elongation factor A like 8 [Source:HGNC Symbol;Acc:HGNC:28683]	2.8856378	
WWC2	WW and C2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24148]	2.8765502	
DIPK1A	divergent protein kinase domain 1A [Source:HGNC Symbol;Acc:HGNC:32213]	2.8714051	
ATP8B1	ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706]	2.8581574	
GXYLT1	glucoside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27482]	2.8581283	
ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	2.8553343	
ZNF887P	zinc finger protein 887, pseudogene [Source:HGNC Symbol;Acc:HGNC:38700]	2.8413079	
TMED9	transmembrane p24 trafficking protein 9 [Source:HGNC Symbol;Acc:HGNC:24878]	2.8365326	
PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	2.8349893	
ERVK3-1	endogenous retrovirus group K3 member 1 [Source:HGNC Symbol;Acc:HGNC:30466]	2.8248146	
PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	2.8210154	
CCT8P1	chaperonin containing TCP1 subunit 8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35144]	2.8210154	
TMEM135	transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]	2.8024795	
EIF3CL	eukaryotic translation initiation factor 3 subunit C like [Source:HGNC Symbol;Acc:HGNC:26347]	2.8021724	
ZNF597	zinc finger protein 597 [Source:HGNC Symbol;Acc:HGNC:26573]	2.7964113	
RBM41	RNA binding motif protein 41 [Source:HGNC Symbol;Acc:HGNC:25617]	2.7906883	
PRSS8	serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]	2.7892032	
SCMH1	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]	2.7716794	
ZNF252P	zinc finger protein 252, pseudogene [Source:HGNC Symbol;Acc:HGNC:13046]	2.767322	
ARHGEF11	Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]	2.7664807	
TMEM231	transmembrane protein 231 [Source:HGNC Symbol;Acc:HGNC:37234]	2.7663233	
ARIH1	ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:689]	2.7648401	
FBXW10B	F-box and WD repeat domain containing 10B [Source:HGNC Symbol;Acc:HGNC:14379]	2.761611	
SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	2.7542455	
NMNAT2	nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]	2.7489152	
SGK3	serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]	2.7441766	
RAI14	retinoic acid induced 14 [Source:HGNC Symbol;Acc:HGNC:14873]	2.726204	
AAR2	AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]	2.7241898	
ZNF620	zinc finger protein 620 [Source:HGNC Symbol;Acc:HGNC:28742]	2.7213643	
ARG2	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	2.7185228	
FBXO38	F-box protein 38 [Source:HGNC Symbol;Acc:HGNC:28844]	2.715011	
MCTS2	MCTS family member 2 [Source:HGNC Symbol;Acc:HGNC:49760]	2.6897514	
PCDH1	protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]	2.686113	
DHX29	DExH-box helicase 29 [Source:HGNC Symbol;Acc:HGNC:15815]	2.6823385	
TCF12	transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11623]	2.677345	
PRMT7	protein arginine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:25557]	2.671485	
ASH2L	ASH2 like, histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]	2.6686497	
TMEM120B	transmembrane protein 120B [Source:HGNC Symbol;Acc:HGNC:32008]	2.6656175	
PRIMPOL	primase and DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:26575]	2.665189	
DIABLO	diablo IAP-binding mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:21528]	2.663161	
POMT2	protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]	2.654176	
FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	2.653161	
NOTCH2NLC	notch 2 N-terminal like C [Source:HGNC Symbol;Acc:HGNC:53924]	2.6440694	
FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	2.6414957	
HPS3	HPS3 biogenesis of lysosomal organelles complex 2 subunit 1 [Source:HGNC Symbol;Acc:HGNC:15597]	2.6352086	
ULBP2	UL16 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14894]	2.6247756	
BBS12	Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648]	2.6178162	
OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	2.614278	
RAD54L2	RAD54 like 2 [Source:HGNC Symbol;Acc:HGNC:29123]	2.6099532	
ZNF561	zinc finger protein 561 [Source:HGNC Symbol;Acc:HGNC:28684]	2.6074932	
ZXDC	ZXD family zinc finger C [Source:HGNC Symbol;Acc:HGNC:28160]	2.6073143	
NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	2.6059186	
AAGAB	alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662]	2.6052783	
ADGRE2	adhesion G protein-coupled receptor E2 [Source:HGNC Symbol;Acc:HGNC:3337]	2.6041942	
RAPGEF6	Rap guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:20655]	2.6028554	
DAP	death associated protein [Source:HGNC Symbol;Acc:HGNC:2672]	2.5974588	
ECSIT	ECSIT signaling integrator [Source:HGNC Symbol;Acc:HGNC:29548]	2.5956519	
POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	2.5935292	
CIART	circadian associated repressor of transcription [Source:HGNC Symbol;Acc:HGNC:25200]	2.5822449	
TMEM38A	transmembrane protein 38A [Source:HGNC Symbol;Acc:HGNC:28462]	2.5764263	
PIGO	phosphatidylinositol glycan anchor biosynthesis class O [Source:HGNC Symbol;Acc:HGNC:23215]	2.5759244	
ZDHHC7	zinc finger DHHC-type palmitoyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:18459]	2.5755978	
NEK7	NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]	2.573846	
DGKI	diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]	2.5668924	
PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	2.5666804	
LRRN3	leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]	2.566317	
PCYT1A	phosphate cytidylyltransferase 1A, choline [Source:HGNC Symbol;Acc:HGNC:8754]	2.561834	
FAM200C	family with sequence similarity 200 member C [Source:HGNC Symbol;Acc:HGNC:30804]	2.558938	
PLAC1	placenta enriched 1 [Source:HGNC Symbol;Acc:HGNC:9044]	2.5576081	
TMEM67	transmembrane protein 67 [Source:HGNC Symbol;Acc:HGNC:28396]	2.5533295	
UBE3C	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]	2.5487707	
IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	2.5419068	
MED13L	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	2.5354664	
BBS4	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969]	2.5321898	
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	2.5317404	
ZSWIM3	zinc finger SWIM-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16157]	2.5309012	
FRMD5	FERM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28214]	2.521284	
ZNF383	zinc finger protein 383 [Source:HGNC Symbol;Acc:HGNC:18609]	2.5211024	
CASD1	CAS1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16014]	2.5184124	
PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	2.512818	
COL28A1	collagen type XXVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22442]	2.512056	
SLC39A10	solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]	2.5117507	
PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	2.5100436	
EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:HGNC Symbol;Acc:HGNC:16687]	2.5038478	
ALKBH1	alkB homolog 1, histone H2A dioxygenase [Source:HGNC Symbol;Acc:HGNC:17911]	2.5020375	
SH3RF1	SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650]	2.5015554	
TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	2.4970608	
NCDN	neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]	2.4950154	
CSF1R	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	2.4925182	
PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	2.4915905	
DPY19L1	dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]	2.4872618	
RABL3	RAB, member of RAS oncogene family like 3 [Source:HGNC Symbol;Acc:HGNC:18072]	2.4807947	
DUSP18	dual specificity phosphatase 18 [Source:HGNC Symbol;Acc:HGNC:18484]	2.478957	
COA7	cytochrome c oxidase assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:25716]	2.471359	
ZNF600	zinc finger protein 600 [Source:HGNC Symbol;Acc:HGNC:30951]	2.4699378	
PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	2.4684694	
EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	2.465658	
ABLIM2	actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195]	2.462674	
STIM2	stromal interaction molecule 2 [Source:HGNC Symbol;Acc:HGNC:19205]	2.4606335	
WASHC2C	WASH complex subunit 2C [Source:HGNC Symbol;Acc:HGNC:23414]	2.460477	
TXNRD2	thioredoxin reductase 2 [Source:HGNC Symbol;Acc:HGNC:18155]	2.4520235	
FAM200A	family with sequence similarity 200 member A [Source:HGNC Symbol;Acc:HGNC:25401]	2.4511662	
LRRC23	leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]	2.4511662	
NABP2	nucleic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28412]	2.4380548	
SERF1A	small EDRK-rich factor 1A [Source:HGNC Symbol;Acc:HGNC:10755]	2.436714	
SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	2.4366484	
IL6R	interleukin 6 receptor [Source:HGNC Symbol;Acc:HGNC:6019]	2.4329836	
PGBD1	piggyBac transposable element derived 1 [Source:HGNC Symbol;Acc:HGNC:19398]	2.4302938	
ACO1	aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]	2.4188209	
GNL1	G protein nucleolar 1 (putative) [Source:HGNC Symbol;Acc:HGNC:4413]	2.4115596	
EFL1	elongation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:25789]	2.404444	
APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	2.4017735	
TMEM267	transmembrane protein 267 [Source:HGNC Symbol;Acc:HGNC:26139]	2.3996804	
SPIN2B	spindlin family member 2B [Source:HGNC Symbol;Acc:HGNC:33147]	2.3995988	
VANGL2	VANGL planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:15511]	2.3922098	
SIM2	SIM bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10883]	2.3915176	
CAPN1	calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]	2.391377	
INTS8	integrator complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:26048]	2.3871827	
ATP6AP2	ATPase H+ transporting accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:18305]	2.3852406	
GFM1	G elongation factor mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:13780]	2.385158	
ELP3	elongator acetyltransferase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20696]	2.3849008	
SMIM20	small integral membrane protein 20 [Source:HGNC Symbol;Acc:HGNC:37260]	2.3817608	
FBXO4	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]	2.3795688	
RNF185	ring finger protein 185 [Source:HGNC Symbol;Acc:HGNC:26783]	2.374265	
GK5	glycerol kinase 5 [Source:HGNC Symbol;Acc:HGNC:28635]	2.3722682	
RBMS2	RNA binding motif single stranded interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9909]	2.370952	
AASS	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]	2.3683302	
ETF1P2	eukaryotic translation termination factor 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:3479]	2.3683302	
SCARA3	scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]	2.3682277	
KIF13A	kinesin family member 13A [Source:HGNC Symbol;Acc:HGNC:14566]	2.3659472	
ANKEF1	ankyrin repeat and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15803]	2.3639572	
ARL6	ADP ribosylation factor like GTPase 6 [Source:HGNC Symbol;Acc:HGNC:13210]	2.3576815	
GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	2.3561969	
UQCC1	ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:15891]	2.3558939	
NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	2.3554344	
AFG1L	AFG1 like ATPase [Source:HGNC Symbol;Acc:HGNC:16411]	2.3551064	
TMX3	thioredoxin related transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:24718]	2.3538177	
ZBTB38	zinc finger and BTB domain containing 38 [Source:HGNC Symbol;Acc:HGNC:26636]	2.3528268	
THBS3	thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]	2.3519962	
ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	2.3507478	
SLC38A7	solute carrier family 38 member 7 [Source:HGNC Symbol;Acc:HGNC:25582]	2.3484719	
PDPR	pyruvate dehydrogenase phosphatase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:30264]	2.3466601	
LRRC74B	leucine rich repeat containing 74B [Source:HGNC Symbol;Acc:HGNC:34301]	2.3437834	
SMG1P3	SMG1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49860]	2.342913	
CLDN10	claudin 10 [Source:HGNC Symbol;Acc:HGNC:2033]	2.342913	
CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	2.3411946	
BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	2.3404503	
RBM33	RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]	2.3404503	
CKMT1A	creatine kinase, mitochondrial 1A [Source:HGNC Symbol;Acc:HGNC:31736]	2.3354514	
IQCD	IQ motif containing D [Source:HGNC Symbol;Acc:HGNC:25168]	2.3345876	
RBM45	RNA binding motif protein 45 [Source:HGNC Symbol;Acc:HGNC:24468]	2.3295112	
SHQ1	SHQ1, H/ACA ribonucleoprotein assembly factor [Source:HGNC Symbol;Acc:HGNC:25543]	2.3294747	
TMEM222	transmembrane protein 222 [Source:HGNC Symbol;Acc:HGNC:25363]	2.3286633	
ENTR1	endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667]	2.3286633	
CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	2.3271723	
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	2.3249876	
RCC1	regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913]	2.32167	
GXYLT2	glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33383]	2.3180182	
MTHFSD	methenyltetrahydrofolate synthetase domain containing [Source:HGNC Symbol;Acc:HGNC:25778]	2.3129168	
DUOXA1	dual oxidase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:26507]	2.3105109	
TOPORS	TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:21653]	2.3032143	
BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	2.2989933	
TCTN3	tectonic family member 3 [Source:HGNC Symbol;Acc:HGNC:24519]	2.2975495	
SLC25A44	solute carrier family 25 member 44 [Source:HGNC Symbol;Acc:HGNC:29036]	2.2954643	
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	2.2953413	
HAUS2	HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530]	2.2947152	
SLC38A6	solute carrier family 38 member 6 [Source:HGNC Symbol;Acc:HGNC:19863]	2.292845	
ZNF675	zinc finger protein 675 [Source:HGNC Symbol;Acc:HGNC:30768]	2.291472	
ELMO2	engulfment and cell motility 2 [Source:HGNC Symbol;Acc:HGNC:17233]	2.2871418	
SNAPC3	small nuclear RNA activating complex polypeptide 3 [Source:HGNC Symbol;Acc:HGNC:11136]	2.2866232	
YJU2B	YJU2 splicing factor homolog B [Source:HGNC Symbol;Acc:HGNC:28118]	2.285376	
ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]	2.2797718	
AMPD2	adenosine monophosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:469]	2.2708886	
MAL2	mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]	2.267644	
AP1G2	adaptor related protein complex 1 subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:556]	2.2657828	
CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	2.2657778	
PACRGL	parkin coregulated like [Source:HGNC Symbol;Acc:HGNC:28442]	2.2657778	
CEP83	centrosomal protein 83 [Source:HGNC Symbol;Acc:HGNC:17966]	2.259966	
RXYLT1	ribitol xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:13530]	2.2599375	
PAK6	p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]	2.2592394	
GIN1	gypsy retrotransposon integrase 1 [Source:HGNC Symbol;Acc:HGNC:25959]	2.257133	
DMAP1	DNA methyltransferase 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18291]	2.2560253	
PPP1R3E	protein phosphatase 1 regulatory subunit 3E [Source:HGNC Symbol;Acc:HGNC:14943]	2.252335	
DCBLD1	discoidin, CUB and LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21479]	2.2508576	
FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	2.2489386	
CXCL14	C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]	2.2454956	
PPIP5K1	diphosphoinositol pentakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:29023]	2.2453675	
EOLA1	endothelium and lymphocyte associated ASCH domain 1 [Source:HGNC Symbol;Acc:HGNC:28089]	2.2385752	
ZNF700	zinc finger protein 700 [Source:HGNC Symbol;Acc:HGNC:25292]	2.2385752	
SLC25A34	solute carrier family 25 member 34 [Source:HGNC Symbol;Acc:HGNC:27653]	2.2340748	
CNDP2	carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437]	2.2285767	
RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	2.2263489	
GIPC2	GIPC PDZ domain containing family member 2 [Source:HGNC Symbol;Acc:HGNC:18177]	2.225336	
METTL14	methyltransferase 14, N6-adenosine-methyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:29330]	2.2183127	
EMC1	ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28957]	2.2176752	
PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	2.2171931	
POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	2.2156458	
PPARGC1B	PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022]	2.2133667	
BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	2.2100506	
TTC14	tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:HGNC:24697]	2.2079935	
C4orf33	chromosome 4 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:27025]	2.205459	
