NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
PCDHGA8	1	ENSG00000253767	
GJC1	1	ENSG00000182963	
MFSD2A	1	ENSG00000168389	
ACBD3	1	ENSG00000182827	
LMNA	1	ENSG00000160789	
OPHN1	1	ENSG00000079482	
UNC45A	1	ENSG00000140553	
HOXA3	1	ENSG00000105997	
MIA2	1	ENSG00000150527	
ENSA	1	ENSG00000143420	
C6orf141	1	ENSG00000197261	
KCNE4	1	ENSG00000152049	
DPP8	1	ENSG00000074603	
TLCD2	1	ENSG00000185561	
IFT88	1	ENSG00000032742	
CD3D	1	ENSG00000167286	
APMAP	1	ENSG00000101474	
THOC3	1	ENSG00000051596	
BIN3	1	ENSG00000147439	
RAB1B	1	ENSG00000174903	
MS4A10	1	ENSG00000172689	
C6orf62	1	ENSG00000112308	
SLC39A1	1	ENSG00000143570	
CHD6	1	ENSG00000124177	
ALG1L1P	1	ENSG00000189366	
VCPIP1	1	ENSG00000175073	
YES1	1	ENSG00000176105	
STXBP2	1	ENSG00000076944	
CCDC34	1	ENSG00000109881	
ENSG00000188897	1	ENSG00000188897	
ZNF891	1	ENSG00000214029	
WDHD1	1	ENSG00000198554	
ACO2	1	ENSG00000100412	
ABCC5	1	ENSG00000114770	
EGR1	1	ENSG00000120738	
PREP	1	ENSG00000085377	
GON7	1	ENSG00000170270	
PEX1	1	ENSG00000127980	
REV1	1	ENSG00000135945	
DMD	1	ENSG00000198947	
MTCO2P12	1	ENSG00000229344	
PHF8	1	ENSG00000172943	
ZNF28	1	ENSG00000198538	
MBD3	1	ENSG00000071655	
ADAMTSL4	1	ENSG00000143382	
TUBA1A	1	ENSG00000167552	
DPP6	1	ENSG00000130226	
KIFC3	1	ENSG00000140859	
COL9A3	1	ENSG00000092758	
CCDC146	1	ENSG00000135205	
GLB1L2	1	ENSG00000149328	
BMERB1	1	ENSG00000166780	
CCDC39	1	ENSG00000284862	
KLHDC3	1	ENSG00000124702	
PRDX3P2	1	ENSG00000231468	
CD36	1	ENSG00000135218	
SPIN2A	1	ENSG00000147059	
SBSN	1	ENSG00000189001	
TSC22D4	1	ENSG00000166925	
SELENOO	1	ENSG00000073169	
REX1BD	1	ENSG00000006015	
CSNK1G3	1	ENSG00000151292	
EXOG	1	ENSG00000157036	
RBM6	1	ENSG00000004534	
MBNL1	1	ENSG00000152601	
CXorf38	1	ENSG00000185753	
LMNB2	1	ENSG00000176619	
PPP2R3A	1	ENSG00000073711	
ATP5F1B	1	ENSG00000110955	
ATRX	1	ENSG00000085224	
UBXN1	1	ENSG00000162191	
CFAP97	1	ENSG00000164323	
TMX2	1	ENSG00000213593	
ATP2B4	1	ENSG00000058668	
IDE	1	ENSG00000119912	
PRKCSH	1	ENSG00000130175	
LAMP1	1	ENSG00000185896	
DDX10	1	ENSG00000178105	
SGCB	1	ENSG00000163069	
HECW2	1	ENSG00000138411	
JSRP1	1	ENSG00000167476	
SLCO5A1	1	ENSG00000137571	
C7	1	ENSG00000112936	
ASPA	1	ENSG00000108381	
PSPC1P1	1	ENSG00000227879	
RND2	1	ENSG00000108830	
ST6GAL1	1	ENSG00000073849	
PLEKHA7	1	ENSG00000166689	
KBTBD12	1	ENSG00000187715	
NKAIN3	1	ENSG00000185942	
PCMT1	1	ENSG00000120265	
DENND4C	1	ENSG00000137145	
DLG1	1	ENSG00000075711	
MPV17L	1	ENSG00000156968	
NIPA2	1	ENSG00000140157	
SLC25A13	1	ENSG00000004864	
RAB3GAP2	1	ENSG00000118873	
SH2D3A	1	ENSG00000125731	
COQ3	1	ENSG00000132423	
GM2A	1	ENSG00000196743	
SH3BP2	1	ENSG00000087266	
SSH3	1	ENSG00000172830	
TMEM51	1	ENSG00000171729	
GABPB1	1	ENSG00000104064	
TSPAN31	1	ENSG00000135452	
PRR3	1	ENSG00000204576	
VKORC1	1	ENSG00000167397	
MDH2	1	ENSG00000146701	
ZNF493	1	ENSG00000196268	
APEX2	1	ENSG00000169188	
LAD1	1	ENSG00000159166	
SLC25A38	1	ENSG00000144659	
PGK1	1	ENSG00000102144	
EIF4B	1	ENSG00000063046	
NUDC	1	ENSG00000090273	
SNAP29	1	ENSG00000099940	
GNAO1	1	ENSG00000087258	
DHFR	1	ENSG00000228716	
MLEC	1	ENSG00000110917	
RNASEH2C	1	ENSG00000172922	
FGD5	1	ENSG00000154783	
MTF1	1	ENSG00000188786	
PPIL4	1	ENSG00000131013	
CCDC142	1	ENSG00000135637	
ST3GAL3	1	ENSG00000126091	
HSD17B10	1	ENSG00000072506	
ZBTB46	1	ENSG00000130584	
CLN3	1	ENSG00000188603	
LRRC8C	1	ENSG00000171488	
CHD1L	1	ENSG00000131778	
FAM199X	1	ENSG00000123575	
DHRS7B	1	ENSG00000109016	
EHMT1	1	ENSG00000181090	
GGCT	1	ENSG00000006625	
UPF2	1	ENSG00000151461	
IAPP	1	ENSG00000121351	
CBX6	1	ENSG00000183741	
LSM8	1	ENSG00000128534	
MTDH	1	ENSG00000147649	
FEM1A	1	ENSG00000141965	
SYT14	1	ENSG00000143469	
GALE	1	ENSG00000117308	
NIP7	1	ENSG00000132603	
PSMG3	1	ENSG00000157778	
ATG2B	1	ENSG00000066739	
CD84	1	ENSG00000066294	
TWF2	1	ENSG00000247596	
NEFL	1	ENSG00000277586	
RPL36	1	ENSG00000130255	
INMT	1	ENSG00000241644	
DUSP19	1	ENSG00000162999	
PSEN2	1	ENSG00000143801	
POLR2K	1	ENSG00000147669	
ITGA7	1	ENSG00000135424	
SKA1	1	ENSG00000154839	
PAQR7	1	ENSG00000182749	
IDH3B	1	ENSG00000101365	
RGP1	1	ENSG00000107185	
DEPDC4	1	ENSG00000166153	
DOT1L	1	ENSG00000104885	
ALG13	1	ENSG00000101901	
PIKFYVE	1	ENSG00000115020	
KLF4	1	ENSG00000136826	
REL	1	ENSG00000162924	
SNX5	1	ENSG00000089006	
KCNK6	1	ENSG00000099337	
OTUD6A	1	ENSG00000189401	
DAB2IP	1	ENSG00000136848	
ATL1	1	ENSG00000198513	
FBXO6	1	ENSG00000116663	
KCNMB1	1	ENSG00000145936	
SOX13	1	ENSG00000143842	
PCBP2	1	ENSG00000197111	
ENOX2	1	ENSG00000165675	
ATP6V0E2	1	ENSG00000171130	
PCGF6	1	ENSG00000156374	
CCP110	1	ENSG00000103540	
PROSER3	1	ENSG00000167595	
TNFAIP2	1	ENSG00000185215	
SEC23A	1	ENSG00000100934	
ETS1	1	ENSG00000134954	
GLIPR1	1	ENSG00000139278	
RUNDC1	1	ENSG00000198863	
SPIRE2	1	ENSG00000204991	
DGCR6L	1	ENSG00000128185	
AGRN	1	ENSG00000188157	
LHFPL5	1	ENSG00000197753	
SHARPIN	1	ENSG00000179526	
CHMP1B	1	ENSG00000255112	
OR7C1	1	ENSG00000127530	
FAM153CP	1	ENSG00000204677	
GNB5	1	ENSG00000069966	
NCOR2	1	ENSG00000196498	
FLRT2	1	ENSG00000185070	
ARHGAP35	1	ENSG00000160007	
MTHFR	1	ENSG00000177000	
IRS2	1	ENSG00000185950	
FAM216A	1	ENSG00000204856	
LAMA1	1	ENSG00000101680	
SLC4A1AP	1	ENSG00000163798	
CHST12	1	ENSG00000136213	
NUGGC	1	ENSG00000189233	
UBE2D4	1	ENSG00000078967	
GADD45B	1	ENSG00000099860	
CCT8	1	ENSG00000156261	
SLC25A33	1	ENSG00000171612	
AAMDC	1	ENSG00000087884	
CRCP	1	ENSG00000241258	
NDUFA12	1	ENSG00000184752	
GOLM1	1	ENSG00000135052	
STXBP5	1	ENSG00000164506	
PQBP1	1	ENSG00000102103	
UBE4B	1	ENSG00000130939	
ZNF875	1	ENSG00000181666	
ATP8A2	1	ENSG00000132932	
CAMSAP2	1	ENSG00000118200	
AARS2	1	ENSG00000124608	
TENT2	1	ENSG00000164329	
MAN1C1	1	ENSG00000117643	
GPALPP1	1	ENSG00000133114	
NELFCD	1	ENSG00000101158	
L2HGDH	1	ENSG00000087299	
SLC30A4	1	ENSG00000104154	
MSMB	1	ENSG00000263639	
CROCCP4	1	ENSG00000227684	
MAGOH3P	1	ENSG00000270975	
FERP1	1	ENSG00000232149	
PIP5K1C	1	ENSG00000186111	
OR4D1	1	ENSG00000141194	
BRAT1	1	ENSG00000106009	
SORD2P	1	ENSG00000259479	
ATPAF1	1	ENSG00000123472	
TRERF1	1	ENSG00000124496	
NSUN5	1	ENSG00000130305	
CCDC124	1	ENSG00000007080	
SPP2	1	ENSG00000072080	
SMIM27	1	ENSG00000235453	
ZNF343	1	ENSG00000088876	
IFNA1	1	ENSG00000197919	
CCNYL1B	1	ENSG00000284209	
CD40	1	ENSG00000101017	
RBX1P2	1	ENSG00000251050	
GNAI1	1	ENSG00000127955	
LDLR	1	ENSG00000130164	
IFT74	1	ENSG00000096872	
INPP5B	1	ENSG00000204084	
MAPKAPK3	1	ENSG00000114738	
PDE10A	1	ENSG00000112541	
GPR157	1	ENSG00000180758	
EXOSC9	1	ENSG00000123737	
PAK2	1	ENSG00000180370	
TLE4	1	ENSG00000106829	
TSTD3	1	ENSG00000279170	
MTHFS	1	ENSG00000136371	
XIAP	1	ENSG00000101966	
TCTN2	1	ENSG00000168778	
B4GALT6	1	ENSG00000118276	
GRHL2	1	ENSG00000083307	
DCAF13	1	ENSG00000164934	
YTHDF2	1	ENSG00000198492	
KCNG4	1	ENSG00000168418	
COX20P1	1	ENSG00000213025	
HSF2	1	ENSG00000025156	
LDHBP1	1	ENSG00000232662	
NAA38	1	ENSG00000183011	
CCR4	1	ENSG00000183813	
CARS2	1	ENSG00000134905	
SEC11A	1	ENSG00000140612	
RPL28	1	ENSG00000108107	
RALY	1	ENSG00000125970	
TPD52L2	1	ENSG00000101150	
C1orf167	1	ENSG00000215910	
SGIP1	1	ENSG00000118473	
CYP1A2	1	ENSG00000140505	
PRR23C	1	ENSG00000233701	
POLN	1	ENSG00000130997	
CRYBG3	1	ENSG00000080200	
KIF6	1	ENSG00000164627	
ADH1B	1	ENSG00000196616	
LRRN4	1	ENSG00000125872	
NFAM1	1	ENSG00000235568	
STS	1	ENSG00000101846	
RASEF	1	ENSG00000165105	
BAZ1A	1	ENSG00000198604	
PIP5K1A	1	ENSG00000143398	
MYH9	1	ENSG00000100345	
NCBP1	1	ENSG00000136937	
PNPT1	1	ENSG00000138035	
CCZ1	1	ENSG00000122674	
PSMD13	1	ENSG00000185627	
RENBP	1	ENSG00000102032	
KIAA0408	1	ENSG00000189367	
C4orf19	1	ENSG00000154274	
TBC1D10B	1	ENSG00000169221	
AGTRAP	1	ENSG00000177674	
PCGF5	1	ENSG00000180628	
GFUS	1	ENSG00000104522	
RPL8	1	ENSG00000161016	
TMEM248	1	ENSG00000106609	
TMEM179B	1	ENSG00000185475	
PYGB	1	ENSG00000100994	
SMAD3	1	ENSG00000166949	
KPTN	1	ENSG00000118162	
TRIM4	1	ENSG00000146833	
IFITM1	1	ENSG00000185885	
PAQR8	1	ENSG00000170915	
MACROH2A2	1	ENSG00000099284	
CCDC174	1	ENSG00000154781	
DGAT2	1	ENSG00000062282	
UNK	1	ENSG00000132478	
KLHL35	1	ENSG00000149243	
TMEM233	1	ENSG00000224982	
ANKLE1	1	ENSG00000160117	
SH3D21	1	ENSG00000214193	
NOL7	1	ENSG00000225921	
FZD5	1	ENSG00000163251	
NDUFA5P11	1	ENSG00000259918	
HAVCR1	1	ENSG00000113249	
FOXN3	1	ENSG00000053254	
SAMHD1	1	ENSG00000101347	
ENSG00000271010	1	ENSG00000271010	
SFT2D1	1	ENSG00000198818	
B4GALT1	1	ENSG00000086062	
CDC37	1	ENSG00000105401	
CD2AP	1	ENSG00000198087	
ETV6	1	ENSG00000139083	
MRPL39	1	ENSG00000154719	
WDR74	1	ENSG00000133316	
AHCYL1	1	ENSG00000168710	
LRRC37A3	1	ENSG00000176809	
MTMR9	1	ENSG00000104643	
CLIP1	1	ENSG00000130779	
PGBD4	1	ENSG00000182405	
COQ9	1	ENSG00000088682	
POLR2I	1	ENSG00000105258	
CHP1	1	ENSG00000187446	
SHC1	1	ENSG00000160691	
TCEANC	1	ENSG00000176896	
SMARCA1	1	ENSG00000102038	
CCL26	1	ENSG00000006606	
XRCC6	1	ENSG00000196419	
MECOM	1	ENSG00000085276	
ADRA1A	1	ENSG00000120907	
SERINC5	1	ENSG00000164300	
COL27A1	1	ENSG00000196739	
COX7B	1	ENSG00000131174	
CABYR	1	ENSG00000154040	
FGF12	1	ENSG00000114279	
TMCO1	1	ENSG00000143183	
KCTD9	1	ENSG00000104756	
GDE1	1	ENSG00000006007	
MIPOL1	1	ENSG00000151338	
CCNDBP1	1	ENSG00000166946	
PI4K2A	1	ENSG00000155252	
PROCR	1	ENSG00000101000	
SLC4A11	1	ENSG00000088836	
UBL4A	1	ENSG00000102178	
ZNF506	1	ENSG00000081665	
SPRR1B	1	ENSG00000169469	
MED11	1	ENSG00000161920	
AGPAT1	1	ENSG00000204310	
NDE1	1	ENSG00000072864	
NATD1	1	ENSG00000274180	
SIGLEC16	1	ENSG00000161643	
OSTM1	1	ENSG00000081087	
THOC2	1	ENSG00000125676	
DCAF16	1	ENSG00000163257	
FRK	1	ENSG00000111816	
FFAR4	1	ENSG00000186188	
PRDX4	1	ENSG00000123131	
PDP1	1	ENSG00000164951	
HRH1	1	ENSG00000196639	
LAMB3	1	ENSG00000196878	
PRKDC	1	ENSG00000253729	
SYNE3	1	ENSG00000176438	
C4BPB	1	ENSG00000123843	
GSDMC	1	ENSG00000147697	
MROH7	1	ENSG00000184313	
TTC28	1	ENSG00000100154	
BLNK	1	ENSG00000095585	
DISC1	1	ENSG00000162946	
RHOT2	1	ENSG00000140983	
CHD4	1	ENSG00000111642	
SNRPA1	1	ENSG00000131876	
ZNF805	1	ENSG00000204524	
NPNT	1	ENSG00000168743	
NIPSNAP3A	1	ENSG00000136783	
APEX1	1	ENSG00000100823	
SMURF2	1	ENSG00000108854	
SDHAP4	1	ENSG00000214135	
OSBPL11	1	ENSG00000144909	
ZNF212	1	ENSG00000170260	
SVBP	1	ENSG00000177868	
PCNT	1	ENSG00000160299	
UBE2L5	1	ENSG00000236444	
RFK	1	ENSG00000135002	
CD200	1	ENSG00000091972	
CPS1	1	ENSG00000021826	
HAVCR2	1	ENSG00000135077	
TMOD3	1	ENSG00000138594	
PTPRF	1	ENSG00000142949	
ZNF75A	1	ENSG00000162086	
PPM1A	1	ENSG00000100614	
LCORL	1	ENSG00000178177	
CD74	1	ENSG00000019582	
CETN3	1	ENSG00000153140	
VWA5B1	1	ENSG00000158816	
ASAP1	1	ENSG00000153317	
RAD23B	1	ENSG00000119318	
EIF2A	1	ENSG00000144895	
SLC16A4	1	ENSG00000168679	
IDO1	1	ENSG00000131203	
ELP6	1	ENSG00000163832	
SYT17	1	ENSG00000103528	
MECP2	1	ENSG00000169057	
ELAPOR1	1	ENSG00000116299	
MTX1	1	ENSG00000173171	
KCND3	1	ENSG00000171385	
LRRCC1	1	ENSG00000133739	
MPHOSPH9	1	ENSG00000051825	
ITGA3	1	ENSG00000005884	
OR1D2	1	ENSG00000184166	
ARHGAP45	1	ENSG00000180448	
PRSS23	1	ENSG00000150687	
ZNF550	1	ENSG00000251369	
TIMM50	1	ENSG00000105197	
FAXC	1	ENSG00000146267	
ELOVL4	1	ENSG00000118402	
VSIG1	1	ENSG00000101842	
USP24	1	ENSG00000162402	
ZNF585B	1	ENSG00000245680	
MLXIPL	1	ENSG00000009950	
CRKL	1	ENSG00000099942	
ITGB3	1	ENSG00000259207	
POMK	1	ENSG00000185900	
TNFRSF1A	1	ENSG00000067182	
ATG12	1	ENSG00000145782	
NDUFV1	1	ENSG00000167792	
OR4F17	1	ENSG00000176695	
RPF1	1	ENSG00000117133	
OR10H1	1	ENSG00000186723	
BCLAF3	1	ENSG00000173681	
CRLS1	1	ENSG00000088766	
AHNAK2	1	ENSG00000185567	
S1PR3	1	ENSG00000213694	
TAGLN2	1	ENSG00000158710	
SLC24A4	1	ENSG00000140090	
ARK2N	1	ENSG00000152242	
DSN1	1	ENSG00000149636	
GJB1	1	ENSG00000169562	
KANK2	1	ENSG00000197256	
THAP7	1	ENSG00000184436	
ATP5PF	1	ENSG00000154723	
BEX3	1	ENSG00000166681	
TLCD5	1	ENSG00000181264	
FAM210A	1	ENSG00000177150	
TMEM91	1	ENSG00000142046	
LONRF3	1	ENSG00000175556	
PSMA5	1	ENSG00000143106	
L3MBTL2	1	ENSG00000100395	
REPS1	1	ENSG00000135597	
P3H1	1	ENSG00000117385	
C17orf113	1	ENSG00000267221	
PLPBP	1	ENSG00000147471	
FZD6	1	ENSG00000164930	
CBLB	1	ENSG00000114423	
PHYHD1	1	ENSG00000175287	
FOXM1	1	ENSG00000111206	
CDK6	1	ENSG00000105810	
CUL1	1	ENSG00000055130	
BACH1	1	ENSG00000156273	
EMC3	1	ENSG00000125037	
ZNF45	1	ENSG00000124459	
ZNF48	1	ENSG00000180035	
MMP19	1	ENSG00000123342	
KCNH6	1	ENSG00000173826	
SRM	1	ENSG00000116649	
PITX1	1	ENSG00000069011	
TNFRSF10D	1	ENSG00000173530	
PDGFRL	1	ENSG00000104213	
EEIG1	1	ENSG00000167106	
ZFPM1	1	ENSG00000179588	
NUAK1	1	ENSG00000074590	
PMS2CL	1	ENSG00000187953	
IL32	1	ENSG00000008517	
OR2AP1	1	ENSG00000179615	
LRFN4	1	ENSG00000173621	
RAB9A	1	ENSG00000123595	
UAP1L1	1	ENSG00000197355	
UPF1	1	ENSG00000005007	
ANKRD30B	1	ENSG00000180777	
TMSB4XP4	1	ENSG00000223551	
DPM3	1	ENSG00000179085	
ZNF676	1	ENSG00000196109	
SLC25A18	1	ENSG00000182902	
CRADD	1	ENSG00000169372	
SULT1A4	1	ENSG00000213648	
NUDT11	1	ENSG00000196368	
ZNF432	1	ENSG00000256087	
PPP6R1	1	ENSG00000105063	
SEPHS1P1	1	ENSG00000182722	
EHD3	1	ENSG00000013016	
CLCF1	1	ENSG00000175505	
NHP2P2	1	ENSG00000213786	
LMLN	1	ENSG00000185621	
POMGNT2	1	ENSG00000144647	
ARMCX4	1	ENSG00000196440	
TMTC2	1	ENSG00000179104	
HEBP1	1	ENSG00000013583	
TMEM128	1	ENSG00000132406	
ITGA5	1	ENSG00000161638	
LY6K	1	ENSG00000160886	
RBM39	1	ENSG00000131051	
TMEM87A	1	ENSG00000103978	
CD180	1	ENSG00000134061	
DLD	1	ENSG00000091140	
QPRT	1	ENSG00000103485	
TGFB2	1	ENSG00000092969	
TPM1	1	ENSG00000140416	
DLST	1	ENSG00000119689	
IL12RB2	1	ENSG00000081985	
ETFDH	1	ENSG00000171503	
CD22	1	ENSG00000012124	
GRIP1	1	ENSG00000155974	
UPB1	1	ENSG00000100024	
CAPNS1	1	ENSG00000126247	
POLR2F	1	ENSG00000100142	
FUT8	1	ENSG00000033170	
YEATS4	1	ENSG00000127337	
CCDC18	1	ENSG00000122483	
TAS2R4	1	ENSG00000127364	
GPR153	1	ENSG00000158292	
CTSE	1	ENSG00000196188	
GSDMB	1	ENSG00000073605	
KLF5	1	ENSG00000102554	
ZFP82	1	ENSG00000181007	
CXXC5	1	ENSG00000171604	
CASP1	1	ENSG00000137752	
KIAA0319L	1	ENSG00000142687	
MSH5	1	ENSG00000204410	
RNF19B	1	ENSG00000116514	
INO80	1	ENSG00000128908	
UGGT1	1	ENSG00000136731	
GSTCD	1	ENSG00000138780	
C5orf22	1	ENSG00000082213	
DDX54	1	ENSG00000123064	
PURB	1	ENSG00000146676	
DDB2	1	ENSG00000134574	
GSTM1	1	ENSG00000134184	
KCNC2	1	ENSG00000166006	
PRKAG3	1	ENSG00000115592	
PIAS3	1	ENSG00000131788	
FBXO43	1	ENSG00000156509	
SPDYE1	1	ENSG00000136206	
CES4A	1	ENSG00000172824	
MT1L	1	ENSG00000260549	
ZNF99	1	ENSG00000213973	
SEPTIN7P1	1	ENSG00000259090	
TAFAZZIN	1	ENSG00000102125	
MSANTD1	1	ENSG00000188981	
MSANTD2	1	ENSG00000120458	
FREM2	1	ENSG00000150893	
MTND1P10	1	ENSG00000229088	
INSIG1	1	ENSG00000186480	
TENM4	1	ENSG00000149256	
EMCN	1	ENSG00000164035	
ALOX12	1	ENSG00000108839	
CAMSAP1	1	ENSG00000130559	
FTLP6	1	ENSG00000254984	
NRXN3	1	ENSG00000021645	
ENPP7P14	1	ENSG00000273963	
EML6	1	ENSG00000214595	
VENTXP4	1	ENSG00000230465	
MINAR2	1	ENSG00000186367	
KHNYN	1	ENSG00000100441	
TUBGCP3	1	ENSG00000126216	
VPS37C	1	ENSG00000167987	
MDH1B	1	ENSG00000138400	
QRICH1	1	ENSG00000198218	
MAML2	1	ENSG00000184384	
KLF2P4	1	ENSG00000236516	
MAD1L1	1	ENSG00000002822	
ABHD1	1	ENSG00000143994	
DNMT3A	1	ENSG00000119772	
PKHD1L1	1	ENSG00000205038	
SEPTIN7P14	1	ENSG00000245958	
TPI1P1	1	ENSG00000226415	
GLIPR2	1	ENSG00000122694	
AVPR1A	1	ENSG00000166148	
ARID4A	1	ENSG00000032219	
RCN1P2	1	ENSG00000214455	
B4GAT1	1	ENSG00000174684	
ACSBG1	1	ENSG00000103740	
LPAR2	1	ENSG00000064547	
BMS1P2	1	ENSG00000251079	
SNTG1	1	ENSG00000147481	
GHR	1	ENSG00000112964	
ANKRD13D	1	ENSG00000172932	
RPL21P113	1	ENSG00000241640	
ANGPT2	1	ENSG00000091879	
LONP1	1	ENSG00000196365	
TOP6BL	1	ENSG00000173715	
VAMP5	1	ENSG00000168899	
GPR78	1	ENSG00000155269	
SLC9A5	1	ENSG00000135740	
KIF1A	1	ENSG00000130294	
TXLNG	1	ENSG00000086712	
COL19A1	1	ENSG00000082293	
CKLF-CMTM1	1	ENSG00000254788	
UNC13A	1	ENSG00000130477	
TNFSF9	1	ENSG00000125657	
METTL24	1	ENSG00000053328	
PBLD	1	ENSG00000108187	
RAD54L	1	ENSG00000085999	
ZC3H12A	1	ENSG00000163874	
ZC3H11C	1	ENSG00000214558	
NHSL2	1	ENSG00000204131	
CCDC7	1	ENSG00000216937	
ICAM1	1	ENSG00000090339	
FAM9C	1	ENSG00000187268	
SPMIP4	1	ENSG00000153790	
PTMS	1	ENSG00000159335	
SGSM3	1	ENSG00000100359	
LYG2	1	ENSG00000185674	
UVSSA	1	ENSG00000163945	
ETV4	1	ENSG00000175832	
ACOX3	1	ENSG00000087008	
XKRX	1	ENSG00000182489	
ARL2BP	1	ENSG00000102931	
NANOGP8	1	ENSG00000255192	
PYGO1	1	ENSG00000171016	
CSTL1	1	ENSG00000125823	
CTDSP1	1	ENSG00000144579	
RPL34P18	1	ENSG00000240509	
NEIL3	1	ENSG00000109674	
ZDHHC14	1	ENSG00000175048	
ZSCAN4	1	ENSG00000180532	
ATP1A4	1	ENSG00000132681	
USP6NL	1	ENSG00000148429	
CPA4	1	ENSG00000128510	
ZNF626	1	ENSG00000188171	
ZNF727	1	ENSG00000214652	
MOGAT3	1	ENSG00000106384	
CCDC169	1	ENSG00000242715	
LSM14B	1	ENSG00000149657	
RPL15P12	1	ENSG00000243402	
PARP16	1	ENSG00000138617	
FAM157A	1	ENSG00000236438	
SKAP1	1	ENSG00000141293	
CRB3	1	ENSG00000130545	
ACTN2	1	ENSG00000077522	
FAM72C	1	ENSG00000263513	
SLCO2B1	1	ENSG00000137491	
TCTA	1	ENSG00000145022	
LMF2	1	ENSG00000100258	
FAM83E	1	ENSG00000105523	
RPL17P50	1	ENSG00000213700	
SETMAR	1	ENSG00000170364	
H1-2	1	ENSG00000187837	
H1-4	1	ENSG00000168298	
ZNF250	1	ENSG00000196150	
EIPR1	1	ENSG00000032389	
ZBTB37	1	ENSG00000185278	
PIPOX	1	ENSG00000179761	
BNIP3P28	1	ENSG00000271095	
CTIF	1	ENSG00000134030	
HIP1R	1	ENSG00000130787	
ZFP2	1	ENSG00000198939	
CD38	1	ENSG00000004468	
CD33	1	ENSG00000105383	
STAMBPL1	1	ENSG00000138134	
TLCD4-RWDD3	1	ENSG00000271092	
GALNTL5	1	ENSG00000106648	
MRAP	1	ENSG00000170262	
PPIAP26	1	ENSG00000150276	
HVCN1	1	ENSG00000122986	
SCAP	1	ENSG00000114650	
TFE3	1	ENSG00000068323	
SELENON	1	ENSG00000162430	
SMURF1	1	ENSG00000198742	
ABCC8	1	ENSG00000006071	
ICA1L	1	ENSG00000163596	
SLC25A16	1	ENSG00000122912	
SEC22B	1	ENSG00000265808	
TTL	1	ENSG00000114999	
ZNG1E	1	ENSG00000147996	
FAM78A	1	ENSG00000126882	
CNOT6	1	ENSG00000113300	
MGAT4A	1	ENSG00000071073	
SLC4A8	1	ENSG00000050438	
DNAJC25	1	ENSG00000059769	
MX1	1	ENSG00000157601	
VDAC1	1	ENSG00000213585	
ALDOC	1	ENSG00000109107	
TMEM69	1	ENSG00000159596	
MAP2K6	1	ENSG00000108984	
CD96	1	ENSG00000153283	
ZNF471	1	ENSG00000196263	
CEP68	1	ENSG00000011523	
SERPINB2	1	ENSG00000197632	
ENO2	1	ENSG00000111674	
APOBEC3A	1	ENSG00000128383	
KLHL18	1	ENSG00000114648	
BUD31	1	ENSG00000106245	
SPINT2	1	ENSG00000167642	
PDE4A	1	ENSG00000065989	
NBPF10	1	ENSG00000271425	
UBXN2A	1	ENSG00000173960	
GALNT10	1	ENSG00000164574	
CLASP2	1	ENSG00000163539	
HEATR5B	1	ENSG00000008869	
SMYD4	1	ENSG00000186532	
ZNF549	1	ENSG00000121406	
ZFAND3	1	ENSG00000156639	
SFN	1	ENSG00000175793	
PDE4D	1	ENSG00000113448	
PRDX2	1	ENSG00000167815	
C1QTNF6	1	ENSG00000133466	
URB2	1	ENSG00000135763	
AGL	1	ENSG00000162688	
SERTAD1	1	ENSG00000197019	
ZNF263	1	ENSG00000006194	
ADGRE3	1	ENSG00000131355	
MIF	1	ENSG00000240972	
LY6S	1	ENSG00000291309	
PIK3C2G	1	ENSG00000139144	
APOL2	1	ENSG00000128335	
KHDC1	1	ENSG00000135314	
BOLA2B	1	ENSG00000169627	
SFXN1	1	ENSG00000164466	
SKIC8	1	ENSG00000140395	
LASP1NB	1	ENSG00000263874	
CRIM1	1	ENSG00000150938	
PTBP1	1	ENSG00000011304	
CINP	1	ENSG00000100865	
MAP4K5	1	ENSG00000012983	
TMEM147	1	ENSG00000105677	
HYCC1	1	ENSG00000122591	
ASTN2	1	ENSG00000148219	
ZNF526	1	ENSG00000167625	
FERMT3	1	ENSG00000149781	
PWWP2A	1	ENSG00000170234	
CREG1	1	ENSG00000143162	
NCBP3	1	ENSG00000074356	
PARG	1	ENSG00000227345	
CD47	1	ENSG00000196776	
UBXN11	1	ENSG00000158062	
YLPM1	1	ENSG00000119596	
SERINC1	1	ENSG00000111897	
RCAN1	1	ENSG00000159200	
COMT	1	ENSG00000093010	
B3GNT6	1	ENSG00000198488	
CFL1	1	ENSG00000172757	
LAMB4	1	ENSG00000091128	
PYCARD	1	ENSG00000103490	
ELAPOR2	1	ENSG00000164659	
C1orf56	1	ENSG00000143443	
SUCLA2	1	ENSG00000136143	
TKT	1	ENSG00000163931	
RABAC1	1	ENSG00000105404	
HOMER2	1	ENSG00000103942	
TTYH3	1	ENSG00000136295	
S100A13	1	ENSG00000189171	
TSPAN7	1	ENSG00000156298	
ATP6V1A	1	ENSG00000114573	
MICU2	1	ENSG00000165487	
RPRD1B	1	ENSG00000101413	
CLNS1A	1	ENSG00000074201	
BCAS2	1	ENSG00000116752	
TRIM41	1	ENSG00000146063	
PLEC	1	ENSG00000178209	
NKAP	1	ENSG00000101882	
PFDN1	1	ENSG00000113068	
TNFSF15	1	ENSG00000181634	
SPATA33	1	ENSG00000167523	
