NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP	20	15		
BARIS_THYROID_CANCER_DN	59	47		
BARIS_THYROID_CANCER_UP	24	21		
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN	31	24		
BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP	33	17		
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN	13	6		
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP	16	15		
BARRIER_COLON_CANCER_RECURRENCE_DN	20	17		
BARRIER_COLON_CANCER_RECURRENCE_UP	42	37		
BASAKI_YBX1_TARGETS_DN	398	309		
BASAKI_YBX1_TARGETS_UP	294	256		
BASSO_B_LYMPHOCYTE_NETWORK	146	121		
BASSO_CD40_SIGNALING_DN	71	44		
BASSO_CD40_SIGNALING_UP	103	65		
BASSO_HAIRY_CELL_LEUKEMIA_DN	6	5		
BASSO_HAIRY_CELL_LEUKEMIA_UP	79	56		
BAUS_TFF2_TARGETS_DN	12	6		
BAUS_TFF2_TARGETS_UP	32	13		
BECKER_TAMOXIFEN_RESISTANCE_DN	54	43		
BECKER_TAMOXIFEN_RESISTANCE_UP	53	38		
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3	7		Rejected!	
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	46	36		
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	59	38		
BEIER_GLIOMA_STEM_CELL_DN	67	48		
BEIER_GLIOMA_STEM_CELL_UP	40	25		
BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE	48	44		
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	29	23		
BENPORATH_CYCLING_GENES	648	560		
BENPORATH_EED_TARGETS	1059	408		
BENPORATH_ES_1	379	296		
BENPORATH_ES_2	40	26		
BENPORATH_ES_CORE_NINE	9	8		
BENPORATH_ES_CORE_NINE_CORRELATED	100	72		
BENPORATH_ES_WITH_H3K27ME3	1115	402		
BENPORATH_MYC_MAX_TARGETS	775	676		
BENPORATH_MYC_TARGETS_WITH_EBOX	230	177		
BENPORATH_NANOG_TARGETS	988	807		
BENPORATH_NOS_TARGETS	179	132		
BENPORATH_OCT4_TARGETS	290	222		
BENPORATH_PRC2_TARGETS	650	204		
BENPORATH_PROLIFERATION	147	139		
BENPORATH_SOX2_TARGETS	734	600		
BENPORATH_SUZ12_TARGETS	1035	398		
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN	48	39		
BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP	29	19		
BERENJENO_TRANSFORMED_BY_RHOA_DN	398	311		
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	30	26		
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP	20	11		
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	30	22		
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP	8	7		
BERENJENO_TRANSFORMED_BY_RHOA_UP	550	492		
BERGER_MBD2_TARGETS	5		Rejected!	
BERNARD_PPAPDC1B_TARGETS_DN	59	43		
BERNARD_PPAPDC1B_TARGETS_UP	37	33		
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	46	27		
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP	24	17		
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	180	116		
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP	207	155		
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	126	82		
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP	122	99		
BHATTACHARYA_EMBRYONIC_STEM_CELL	84	71		
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN	88	71		
BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	211	138		
BHAT_ESR1_TARGETS_VIA_AKT1_DN	82	69		
BHAT_ESR1_TARGETS_VIA_AKT1_UP	281	196		
BIDUS_METASTASIS_DN	154	97		
BIDUS_METASTASIS_UP	221	204		
BIERIE_INFLAMMATORY_RESPONSE_TGFB1	5		Rejected!	
BILANGES_RAPAMYCIN_SENSITIVE_GENES	37	34		
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	69	61		
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	69	61		
BILANGES_SERUM_RESPONSE_TRANSLATION	34	27		
BILANGES_SERUM_SENSITIVE_GENES	80	51		
BILANGES_SERUM_SENSITIVE_VIA_TSC1	21	10		
BILANGES_SERUM_SENSITIVE_VIA_TSC2	32	26		
BILBAN_B_CLL_LPL_DN	41	32		
BILBAN_B_CLL_LPL_UP	64	47		
BILD_CTNNB1_ONCOGENIC_SIGNATURE	79	66		
BILD_E2F3_ONCOGENIC_SIGNATURE	248	176		
BILD_HRAS_ONCOGENIC_SIGNATURE	252	206		
BILD_MYC_ONCOGENIC_SIGNATURE	209	162		
BILD_SRC_ONCOGENIC_SIGNATURE	59	51		
BLALOCK_ALZHEIMERS_DISEASE_DN	1248	998		
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	166	129		
BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP	389	298		
BLALOCK_ALZHEIMERS_DISEASE_UP	1671		Rejected!	
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	217	107		
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	378	278		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	187	149		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	644	427		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN	81	38		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	137	91		
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	59	39		
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	144	84		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	96	65		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	76	50		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	486	268		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	545	314		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	77	34		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	86	50		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN	24	10		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	339	196		
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	14	9		
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	174	85		
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	175	132		
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	174	76		
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	123	38		
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	204	147		
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	118	67		
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	41	32		
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN	37	20		
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	299	140		
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	119	42		
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	286	206		
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_DN	9		Rejected!	
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	12	11		
BLUM_RESPONSE_TO_SALIRASIB_DN	341	300		
BLUM_RESPONSE_TO_SALIRASIB_UP	245	212		
BOCHKIS_FOXA2_TARGETS	434	293		
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_DN	33	26		
BOGNI_TREATMENT_RELATED_MYELOID_LEUKEMIA_UP	31	20		
BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_DN	38	28		
BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_UP	46	43		
BONCI_TARGETS_OF_MIR15A_AND_MIR16_1	92	72		
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_DN	22	15		
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP	31	24		
BONOME_OVARIAN_CANCER_SURVIVAL_OPTIMAL_DEBULKING	237	174		
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING	506	347		
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN	31	16		
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	427	277		
BOQUEST_STEM_CELL_DN	218	125		
BOQUEST_STEM_CELL_UP	261	144		
BORCZUK_MALIGNANT_MESOTHELIOMA_DN	106	41		
BORCZUK_MALIGNANT_MESOTHELIOMA_UP	310	295		
BORLAK_LIVER_CANCER_EGF_UP	53	44		
BOSCO_ALLERGEN_INDUCED_TH2_ASSOCIATED_MODULE	150	97		
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	69	42		
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE	78	58		
BOSCO_TH1_CYTOTOXIC_MODULE	114	46		
BOUDOUKHA_BOUND_BY_IGF2BP2	108	86		
BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX	17	16		
BOWIE_RESPONSE_TO_TAMOXIFEN	18	18		
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN	51	29		
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP	47	42		
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN	15	7		
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP	40	36		
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN	40	34		
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	116	100		
BOYAULT_LIVER_CANCER_SUBCLASS_G2	28	20		
BOYAULT_LIVER_CANCER_SUBCLASS_G23_DN	10	5		
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP	53	48		
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN	53	27		
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	190	176		
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN	17	13		
BOYAULT_LIVER_CANCER_SUBCLASS_G56_UP	11	9		
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN	28	20		
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN	19	15		
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP	66	49		
BOYERINAS_ONCOFETAL_TARGETS_OF_LET7A1	12	10		
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN	32	22		
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_UP	37	33		
BOYLAN_MULTIPLE_MYELOMA_C_DN	60	46		
BOYLAN_MULTIPLE_MYELOMA_C_D_DN	276	155		
BOYLAN_MULTIPLE_MYELOMA_C_D_UP	143	114		
BOYLAN_MULTIPLE_MYELOMA_C_UP	50	34		
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_DN	37	26		
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_UP	27	20		
BOYLAN_MULTIPLE_MYELOMA_D_DN	83	52		
BOYLAN_MULTIPLE_MYELOMA_D_UP	92	69		
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	9	7		
BOYLAN_MULTIPLE_MYELOMA_PCA1_UP	122	58		
BOYLAN_MULTIPLE_MYELOMA_PCA3_DN	71	45		
BOYLAN_MULTIPLE_MYELOMA_PCA3_UP	82	56		
BRACHAT_RESPONSE_TO_CAMPTOTHECIN_DN	42	37		
BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP	26	21		
BRACHAT_RESPONSE_TO_CISPLATIN	23	18		
BRACHAT_RESPONSE_TO_METHOTREXATE_DN	26	21		
BRACHAT_RESPONSE_TO_METHOTREXATE_UP	24	20		
BRAUNE_GEIST_20_GENE_NOTCH_SIG_BREAST_CANCER	20	12		
BREDEMEYER_RAG_SIGNALING_NOT_VIA_ATM_DN	61	45		
BREDEMEYER_RAG_SIGNALING_NOT_VIA_ATM_UP	65	47		
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_DN	41	31		
BREDEMEYER_RAG_SIGNALING_VIA_ATM_NOT_VIA_NFKB_UP	52	34		
BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER	15	10		
BRIDEAU_IMPRINTED_GENES	65	28		
BROCKE_APOPTOSIS_REVERSED_BY_IL6	146	115		
BROWNE_HCMV_INFECTION_10HR_DN	57	45		
BROWNE_HCMV_INFECTION_10HR_UP	98	67		
BROWNE_HCMV_INFECTION_12HR_DN	100	70		
BROWNE_HCMV_INFECTION_12HR_UP	112	82		
BROWNE_HCMV_INFECTION_14HR_DN	290	214		
BROWNE_HCMV_INFECTION_14HR_UP	156	121		
BROWNE_HCMV_INFECTION_16HR_DN	83	54		
BROWNE_HCMV_INFECTION_16HR_UP	223	181		
BROWNE_HCMV_INFECTION_18HR_DN	182	109		
BROWNE_HCMV_INFECTION_18HR_UP	172	129		
BROWNE_HCMV_INFECTION_1HR_DN	218	137		
BROWNE_HCMV_INFECTION_1HR_UP	51	30		
BROWNE_HCMV_INFECTION_20HR_DN	102	81		
BROWNE_HCMV_INFECTION_20HR_UP	235	165		
BROWNE_HCMV_INFECTION_24HR_DN	145	112		
BROWNE_HCMV_INFECTION_24HR_UP	146	102		
BROWNE_HCMV_INFECTION_2HR_DN	48	38		
BROWNE_HCMV_INFECTION_2HR_UP	40	23		
BROWNE_HCMV_INFECTION_30MIN_DN	145	82		
BROWNE_HCMV_INFECTION_30MIN_UP	54	27		
BROWNE_HCMV_INFECTION_48HR_DN	482	298		
BROWNE_HCMV_INFECTION_48HR_UP	180	128		
BROWNE_HCMV_INFECTION_4HR_DN	252	169		
BROWNE_HCMV_INFECTION_4HR_UP	50	32		
BROWNE_HCMV_INFECTION_6HR_DN	164	130		
BROWNE_HCMV_INFECTION_6HR_UP	63	31		
BROWNE_HCMV_INFECTION_8HR_DN	48	35		
BROWNE_HCMV_INFECTION_8HR_UP	105	71		
BROWNE_INTERFERON_RESPONSIVE_GENES	67	54		
BROWN_MYELOID_CELL_DEVELOPMENT_DN	133	97		
BROWN_MYELOID_CELL_DEVELOPMENT_UP	167	109		
BRUECKNER_TARGETS_OF_MIRLET7A3_DN	76	62		
BRUECKNER_TARGETS_OF_MIRLET7A3_UP	110	84		
BRUINS_UVC_RESPONSE_EARLY_LATE	316	248		
BRUINS_UVC_RESPONSE_LATE	1136	865		
BRUINS_UVC_RESPONSE_MIDDLE	99	74		
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_A	899	480		
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	554	352		
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_C	91	59		
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_D	279	171		
BRUNEAU_HEART_GREAT_VESSELS_AND_VALVULOGENESIS	8		Rejected!	
BRUNEAU_SEPTATION_ATRIAL	5		Rejected!	
BRUNEAU_SEPTATION_VENTRICULAR	10	5		
BRUNO_HEMATOPOIESIS	67	50		
BUCKANOVICH_T_LYMPHOCYTE_HOMING_ON_TUMOR_DN	22	13		
BUCKANOVICH_T_LYMPHOCYTE_HOMING_ON_TUMOR_UP	21	16		
BUFFA_HYPOXIA_METAGENE	50	46		
BURTON_ADIPOGENESIS_1	31	27		
BURTON_ADIPOGENESIS_10	31	25		
BURTON_ADIPOGENESIS_11	52	45		
BURTON_ADIPOGENESIS_12	32	31		
BURTON_ADIPOGENESIS_2	71	60		
BURTON_ADIPOGENESIS_3	101	89		
BURTON_ADIPOGENESIS_4	45	33		
BURTON_ADIPOGENESIS_5	118	108		
BURTON_ADIPOGENESIS_6	191	140		
BURTON_ADIPOGENESIS_7	49	39		
BURTON_ADIPOGENESIS_8	80	69		
BURTON_ADIPOGENESIS_9	85	65		
BURTON_ADIPOGENESIS_PEAK_AT_0HR	64	43		
BURTON_ADIPOGENESIS_PEAK_AT_16HR	41	34		
BURTON_ADIPOGENESIS_PEAK_AT_24HR	44	40		
BURTON_ADIPOGENESIS_PEAK_AT_2HR	46	38		
BURTON_ADIPOGENESIS_PEAK_AT_8HR	39	38		
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN	647	527		
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	822	708		
BYSTROEM_CORRELATED_WITH_IL5_DN	60	54		
BYSTROEM_CORRELATED_WITH_IL5_UP	41	28		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_CIS	69	58		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_TRANS	157	120		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FGF3	8	7		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FLI1	8	6		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_IL3RA	9	7		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_CIS	133	103		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_TRANS	786	548		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_RUNX1	8		Rejected!	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_SCP2_QTL_TRANS	27	12		
BYSTRYKH_SCP2_QTL	6		Rejected!	
CADWELL_ATG16L1_TARGETS_DN	71	51		
CADWELL_ATG16L1_TARGETS_UP	104	45		
CAFFAREL_RESPONSE_TO_THC_24HR_3_DN	13	13		
CAFFAREL_RESPONSE_TO_THC_24HR_3_UP	8	6		
CAFFAREL_RESPONSE_TO_THC_24HR_5_DN	56	51		
CAFFAREL_RESPONSE_TO_THC_24HR_5_UP	33	28		
CAFFAREL_RESPONSE_TO_THC_8HR_3_DN	10	9		
CAFFAREL_RESPONSE_TO_THC_8HR_3_UP	5	5		
CAFFAREL_RESPONSE_TO_THC_8HR_5_DN	12	11		
CAFFAREL_RESPONSE_TO_THC_8HR_5_UP	15	14		
CAFFAREL_RESPONSE_TO_THC_DN	32	29		
CAFFAREL_RESPONSE_TO_THC_UP	32	29		
CAIRO_HEPATOBLASTOMA_CLASSES_DN	213	131		
CAIRO_HEPATOBLASTOMA_CLASSES_UP	612	558		
CAIRO_HEPATOBLASTOMA_DN	267	144		
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL	16	8		
CAIRO_HEPATOBLASTOMA_UP	213	181		
CAIRO_LIVER_DEVELOPMENT_DN	225	132		
CAIRO_LIVER_DEVELOPMENT_UP	166	117		
CAIRO_PML_TARGETS_BOUND_BY_MYC_DN	13	11		
CAIRO_PML_TARGETS_BOUND_BY_MYC_UP	22	18		
CALVET_IRINOTECAN_SENSITIVE_VS_RESISTANT_UP	5		Rejected!	
CALVET_IRINOTECAN_SENSITIVE_VS_REVERTED_DN	5		Rejected!	
CALVET_IRINOTECAN_SENSITIVE_VS_REVERTED_UP	5		Rejected!	
CAMPS_COLON_CANCER_COPY_NUMBER_DN	74	31		
CAMPS_COLON_CANCER_COPY_NUMBER_UP	93	40		
CARDOSO_RESPONSE_TO_GAMMA_RADIATION_AND_3AB	14	11		
CARD_MIR302A_TARGETS	77	60		
CARRILLOREIXACH_14Q32OVEREXPRESSION_IN_HEPATOBLASTOMA	44		Rejected!	
