NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_HYDROLYSIS_OF_LPC	REACTOME_HYDROLYSIS_OF_LPC		7	0.79936284	1.7930026	0.002	0.2975424	1.0	1746	tags=57%, list=15%, signal=67%	
KEGG_MEDICUS_VARIANT_EGFR_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_EGFR_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY		10	0.71138746	1.7906818	0.013435701	0.29655823	1.0	308	tags=30%, list=3%, signal=31%	
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN		39	0.49867722	1.7899919	0.0	0.2896631	1.0	1148	tags=28%, list=10%, signal=31%	
FEKIR_HEPARG_SIDE_POP_VS_HEPARG_DN	FEKIR_HEPARG_SIDE_POP_VS_HEPARG_DN		40	0.50708205	1.7896447	0.0040983604	0.28238866	1.0	2483	tags=50%, list=21%, signal=63%	
LI_ESTROGENE_META_E2_RESPONSE_UP	LI_ESTROGENE_META_E2_RESPONSE_UP		33	0.51747835	1.7892525	0.00203666	0.275654	1.0	2713	tags=45%, list=23%, signal=59%	
XIE_ST_HSC_S1PR3_OE_UP	XIE_ST_HSC_S1PR3_OE_UP		107	0.41791913	1.7879922	0.0	0.27227178	1.0	2229	tags=33%, list=19%, signal=40%	
KEGG_MEDICUS_PATHOGEN_EBV_LMP2A_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_EBV_LMP2A_TO_PI3K_SIGNALING_PATHWAY		5	0.8997709	1.7869828	0.0019417476	0.26767936	1.0	327	tags=40%, list=3%, signal=41%	
KEGG_MEDICUS_REFERENCE_EREG_EGFR_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EREG_EGFR_PI3K_SIGNALING_PATHWAY		11	0.6905971	1.7867597	0.011029412	0.26139945	1.0	308	tags=27%, list=3%, signal=28%	
WP_FGF23_SIGNALING_IN_HYPOPHOSPHATEMIC_RICKETS_AND_RELATED_DISORDERS	WP_FGF23_SIGNALING_IN_HYPOPHOSPHATEMIC_RICKETS_AND_RELATED_DISORDERS		10	0.7195949	1.7846916	0.006012024	0.2605996	1.0	1293	tags=40%, list=11%, signal=45%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE		40	0.49832436	1.7816209	0.0019880715	0.26345527	1.0	178	tags=13%, list=1%, signal=13%	
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING		12	0.68286985	1.7784777	0.0075329565	0.26707757	1.0	367	tags=25%, list=3%, signal=26%	
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION	WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION		29	0.53266263	1.7753514	0.0	0.2689625	1.0	259	tags=17%, list=2%, signal=18%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION		41	0.4931065	1.7723099	0.00203666	0.27214745	1.0	178	tags=12%, list=1%, signal=12%	
KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY		16	0.6291028	1.7592291	0.0021413276	0.30449945	1.0	308	tags=25%, list=3%, signal=26%	
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP	BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP		7	0.79578954	1.7571226	0.004048583	0.30446634	1.0	475	tags=43%, list=4%, signal=45%	
KEGG_MEDICUS_REFERENCE_IGF2_IGF1R_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IGF2_IGF1R_PI3K_SIGNALING_PATHWAY		10	0.7066118	1.7561966	0.0021691974	0.30047885	1.0	308	tags=30%, list=3%, signal=31%	
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP		236	0.36409178	1.7547934	0.0	0.298895	1.0	3643	tags=44%, list=31%, signal=62%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KRAS_NRAS_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KRAS_NRAS_TO_PI3K_SIGNALING_PATHWAY		9	0.71568286	1.7537155	0.006012024	0.29583073	1.0	1247	tags=33%, list=10%, signal=37%	
WP_SYNAPTIC_SIGNALING_ASSOCIATED_WITH_AUTISM_SPECTRUM_DISORDER	WP_SYNAPTIC_SIGNALING_ASSOCIATED_WITH_AUTISM_SPECTRUM_DISORDER		35	0.50555617	1.7534502	0.0	0.29053113	1.0	2244	tags=43%, list=19%, signal=53%	
NAKAYAMA_FRA2_TARGETS	NAKAYAMA_FRA2_TARGETS		35	0.5062065	1.7505527	0.004149378	0.2942783	1.0	2592	tags=54%, list=22%, signal=69%	
KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY		11	0.6816173	1.7461184	0.004255319	0.30193388	1.0	308	tags=27%, list=3%, signal=28%	
KEGG_MEDICUS_REFERENCE_KITLG_KIT_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_KITLG_KIT_PI3K_SIGNALING_PATHWAY		10	0.6784961	1.7433873	0.012345679	0.30409116	1.0	308	tags=30%, list=3%, signal=31%	
KEGG_MEDICUS_REFERENCE_P4_PR_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_P4_PR_PI3K_SIGNALING_PATHWAY		6	0.8220797	1.7344881	0.0020242915	0.32804576	1.0	308	tags=33%, list=3%, signal=34%	
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE		42	0.4764078	1.7309166	0.0	0.33394432	1.0	1855	tags=26%, list=16%, signal=31%	
WP_CALORIC_RESTRICTION_AND_AGING	WP_CALORIC_RESTRICTION_AND_AGING		7	0.7817953	1.7302318	0.0	0.33040932	1.0	501	tags=43%, list=4%, signal=45%	
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP	GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP		12	0.663502	1.7283303	0.0020920502	0.32989368	1.0	864	tags=33%, list=7%, signal=36%	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TAN_DN	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_TAN_DN		10	0.68280476	1.7277939	0.027559055	0.32564318	1.0	1189	tags=50%, list=10%, signal=55%	
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_9	MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_9		8	0.75716156	1.7222985	0.00589391	0.33892724	1.0	1161	tags=50%, list=10%, signal=55%	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PI3K_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PI3K_NFKB_SIGNALING_PATHWAY		12	0.6608192	1.7206141	0.015625	0.33877927	1.0	969	tags=25%, list=8%, signal=27%	
RIGGINS_TAMOXIFEN_RESISTANCE_UP	RIGGINS_TAMOXIFEN_RESISTANCE_UP		40	0.48713478	1.718681	0.0040650405	0.33938447	1.0	2130	tags=38%, list=18%, signal=45%	
SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP	SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP		52	0.44917858	1.7153575	0.004201681	0.3458199	1.0	2428	tags=42%, list=20%, signal=53%	
HOWLIN_CITED1_TARGETS_2_UP	HOWLIN_CITED1_TARGETS_2_UP		13	0.6327924	1.7145139	0.007889546	0.34296927	1.0	1132	tags=31%, list=9%, signal=34%	
LI_ESTROGENE_NON_MCF7_T47D_E2_RESPONSE_DN	LI_ESTROGENE_NON_MCF7_T47D_E2_RESPONSE_DN		7	0.7742845	1.714416	0.0058139535	0.33777156	1.0	937	tags=57%, list=8%, signal=62%	
KEGG_MEDICUS_VARIANT_EGF_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_EGF_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY		7	0.753273	1.713542	0.013358778	0.3350733	1.0	308	tags=29%, list=3%, signal=29%	
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP	BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP		15	0.61476225	1.7132479	0.009940358	0.33083802	1.0	628	tags=20%, list=5%, signal=21%	
KEGG_MEDICUS_VARIANT_TGFA_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_TGFA_OVEREXPRESSION_TO_PI3K_SIGNALING_PATHWAY		8	0.7343042	1.7127912	0.014256619	0.32732865	1.0	308	tags=25%, list=3%, signal=26%	
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE		12	0.65012425	1.7115948	0.009708738	0.32599437	1.0	1313	tags=42%, list=11%, signal=47%	
DISTECHE_ESCAPED_FROM_X_INACTIVATION	DISTECHE_ESCAPED_FROM_X_INACTIVATION		12	0.6516974	1.7109458	0.011627907	0.32317448	1.0	643	tags=25%, list=5%, signal=26%	
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM		19	0.5706485	1.7069308	0.012605042	0.33113864	1.0	1109	tags=26%, list=9%, signal=29%	
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION		17	0.5842552	1.705627	0.016129032	0.3304756	1.0	2435	tags=59%, list=20%, signal=74%	
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING	REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING		25	0.5306933	1.7042146	0.0	0.33092397	1.0	447	tags=20%, list=4%, signal=21%	
BIOCARTA_RAC1_PATHWAY	BIOCARTA_RAC1_PATHWAY		16	0.60482633	1.6940408	0.0037243948	0.36186844	1.0	1735	tags=44%, list=15%, signal=51%	
INAMURA_LUNG_CANCER_SCC_DN	INAMURA_LUNG_CANCER_SCC_DN		9	0.6978281	1.69165	0.015238095	0.36588037	1.0	844	tags=33%, list=7%, signal=36%	
LI_CYTIDINE_ANALOG_PATHWAY	LI_CYTIDINE_ANALOG_PATHWAY		12	0.6411466	1.6898787	0.016260162	0.36737052	1.0	1923	tags=50%, list=16%, signal=60%	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION		19	0.565196	1.6898025	0.015414258	0.3627061	1.0	3028	tags=63%, list=25%, signal=84%	
REACTOME_RA_BIOSYNTHESIS_PATHWAY	REACTOME_RA_BIOSYNTHESIS_PATHWAY		12	0.6518615	1.6890105	0.007707129	0.36054224	1.0	2591	tags=58%, list=22%, signal=74%	
KEGG_LYSOSOME	KEGG_LYSOSOME		104	0.3880038	1.6873231	0.0	0.3614537	1.0	2830	tags=39%, list=24%, signal=51%	
CHIBA_RESPONSE_TO_TSA	CHIBA_RESPONSE_TO_TSA		38	0.4766714	1.6856982	0.004166667	0.36203766	1.0	1408	tags=29%, list=12%, signal=33%	
BIOCARTA_HIF_PATHWAY	BIOCARTA_HIF_PATHWAY		11	0.65341324	1.6851026	0.014112903	0.35954654	1.0	1274	tags=27%, list=11%, signal=31%	
PID_EPHRINB_REV_PATHWAY	PID_EPHRINB_REV_PATHWAY		18	0.565412	1.6807297	0.012448133	0.37023762	1.0	1189	tags=28%, list=10%, signal=31%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KIT_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KIT_TO_PI3K_SIGNALING_PATHWAY		7	0.7571497	1.679427	0.007633588	0.3703763	1.0	308	tags=29%, list=3%, signal=29%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM		41	0.46449244	1.6767651	0.010593221	0.3752324	1.0	2987	tags=44%, list=25%, signal=58%	
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K	REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K		7	0.76797926	1.6764258	0.009578544	0.37192887	1.0	327	tags=43%, list=3%, signal=44%	
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM		9	0.6912512	1.6736318	0.015968064	0.37641224	1.0	126	tags=22%, list=1%, signal=22%	
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION	WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION		24	0.5250913	1.673314	0.01004016	0.37311456	1.0	1464	tags=33%, list=12%, signal=38%	
KEGG_MEDICUS_REFERENCE_ICOSLG_ICOS_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ICOSLG_ICOS_PI3K_SIGNALING_PATHWAY		8	0.71364284	1.6725094	0.012024048	0.37145478	1.0	2639	tags=63%, list=22%, signal=80%	
KEGG_MEDICUS_REFERENCE_IGF_IGFR_PI3K_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IGF_IGFR_PI3K_NFKB_SIGNALING_PATHWAY		13	0.62579596	1.6719098	0.014056225	0.3693453	1.0	969	tags=23%, list=8%, signal=25%	
ROETH_TERT_TARGETS_UP	ROETH_TERT_TARGETS_UP		13	0.62059665	1.6709859	0.016216217	0.3681737	1.0	1828	tags=46%, list=15%, signal=54%	
VERRECCHIA_EARLY_RESPONSE_TO_TGFB1	VERRECCHIA_EARLY_RESPONSE_TO_TGFB1		43	0.4569552	1.6688023	0.006012024	0.3712869	1.0	972	tags=26%, list=8%, signal=28%	
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN		38	0.473644	1.6673054	0.012219959	0.37235972	1.0	2603	tags=37%, list=22%, signal=47%	
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN		107	0.3816095	1.6672715	0.0	0.36841577	1.0	2102	tags=27%, list=18%, signal=33%	
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING		7	0.745023	1.665499	0.00952381	0.37044883	1.0	1592	tags=43%, list=13%, signal=49%	
LEE_LIVER_CANCER_ACOX1_UP	LEE_LIVER_CANCER_ACOX1_UP		47	0.45375353	1.6645502	0.0021231424	0.36972868	1.0	3235	tags=47%, list=27%, signal=64%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY		19	0.5578352	1.6631762	0.0123203285	0.3701232	1.0	2604	tags=47%, list=22%, signal=60%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		74	0.40711236	1.66189	0.0020833334	0.37073812	1.0	1720	tags=28%, list=14%, signal=33%	
STEIN_ESR1_TARGETS	STEIN_ESR1_TARGETS		65	0.41525102	1.6599039	0.004040404	0.37323955	1.0	1847	tags=29%, list=15%, signal=34%	
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP		117	0.3852955	1.6597025	0.0	0.3700406	1.0	2130	tags=32%, list=18%, signal=38%	
PID_MYC_PATHWAY	PID_MYC_PATHWAY		21	0.5409117	1.6585897	0.017578125	0.3697639	1.0	1506	tags=33%, list=13%, signal=38%	
WP_IL7_SIGNALING	WP_IL7_SIGNALING		22	0.530478	1.6567984	0.00967118	0.37215275	1.0	1788	tags=41%, list=15%, signal=48%	
REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1	REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1		8	0.7033653	1.6483729	0.01778656	0.39738917	1.0	308	tags=25%, list=3%, signal=26%	
WP_RIBOFLAVIN_AND_COQ_DISORDERS	WP_RIBOFLAVIN_AND_COQ_DISORDERS		11	0.63614917	1.6483642	0.02296451	0.39347482	1.0	3224	tags=73%, list=27%, signal=100%	
LIU_VAV3_PROSTATE_CARCINOGENESIS_UP	LIU_VAV3_PROSTATE_CARCINOGENESIS_UP		48	0.438891	1.6447146	0.0020283975	0.40289927	1.0	1609	tags=31%, list=13%, signal=36%	
WP_FLUOROPYRIMIDINE_ACTIVITY	WP_FLUOROPYRIMIDINE_ACTIVITY		27	0.5020407	1.6437848	0.019569471	0.40243438	1.0	2898	tags=44%, list=24%, signal=59%	
CAIRO_LIVER_DEVELOPMENT_DN	CAIRO_LIVER_DEVELOPMENT_DN		132	0.36487728	1.6376749	0.0022123894	0.42034623	1.0	2121	tags=30%, list=18%, signal=36%	
WU_ALZHEIMER_DISEASE_DN	WU_ALZHEIMER_DISEASE_DN		15	0.5849039	1.6345457	0.029761905	0.4275972	1.0	1633	tags=33%, list=14%, signal=39%	
HECKER_IFNB1_TARGETS	HECKER_IFNB1_TARGETS		58	0.41828	1.632201	0.004115226	0.432035	1.0	1828	tags=29%, list=15%, signal=34%	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE		16	0.55752224	1.6319296	0.027131783	0.4287495	1.0	1677	tags=31%, list=14%, signal=36%	
BIOCARTA_P53HYPOXIA_PATHWAY	BIOCARTA_P53HYPOXIA_PATHWAY		17	0.56882095	1.6315663	0.020183487	0.4263572	1.0	1915	tags=53%, list=16%, signal=63%	
WP_CHOLESTASIS	WP_CHOLESTASIS		12	0.6184591	1.6304183	0.025641026	0.4266175	1.0	1157	tags=25%, list=10%, signal=28%	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_DN	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_DN		10	0.65669256	1.6303829	0.02096436	0.4228898	1.0	1605	tags=60%, list=13%, signal=69%	
HEDVAT_ELF4_TARGETS_UP	HEDVAT_ELF4_TARGETS_UP		7	0.72753763	1.6301131	0.018255578	0.420019	1.0	1978	tags=71%, list=17%, signal=86%	
